                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.76012,                0.71291,                 1.2427,                0.94918,                 0.9445,                0.97599,                0.84542,                0.57524,                0.36924,                 1.1543,              0.0060895,              0.0060895,              0.0060895
                     81,                0.75161,                0.65813,                 1.2341,                0.95374,                0.94541,                0.97722,                0.84656,                0.57726,                0.37244,                 1.1549,                0.00604,                0.00604,                0.00604
                     82,                 0.7612,                0.67947,                 1.2434,                0.95111,                0.94721,                0.97837,                0.84681,                0.56857,                0.36747,                 1.1512,              0.0059905,              0.0059905,              0.0059905
                     83,                0.74933,                0.68032,                 1.2344,                0.94627,                0.94581,                  0.978,                0.84513,                0.58522,                0.37244,                  1.163,               0.005941,               0.005941,               0.005941
                     84,                0.74667,                  0.661,                 1.2325,                0.94892,                0.94804,                 0.9797,                0.84779,                0.57202,                0.37218,                 1.1506,              0.0058915,              0.0058915,              0.0058915
                     85,                 0.7467,                0.66199,                 1.2302,                0.94402,                0.94929,                 0.9797,                0.84856,                0.56246,                0.36962,                 1.1395,               0.005842,               0.005842,               0.005842
                     86,                0.74573,                0.65544,                 1.2314,                0.95038,                0.95315,                 0.9791,                0.84934,                0.56657,                0.36509,                 1.1424,              0.0057925,              0.0057925,              0.0057925
                     87,                0.73669,                0.64048,                 1.2292,                0.94486,                0.95195,                0.97951,                0.85051,                0.55789,                0.36211,                 1.1346,               0.005743,               0.005743,               0.005743
                     88,                0.73875,                0.63742,                  1.227,                0.95253,                0.94624,                 0.9796,                0.85296,                0.55617,                 0.3592,                 1.1349,              0.0056935,              0.0056935,              0.0056935
                     89,                0.73268,                0.63796,                 1.2205,                0.95027,                0.95133,                0.98002,                0.85318,                0.55003,                0.35944,                 1.1263,               0.005644,               0.005644,               0.005644
                     90,                0.73027,                0.63961,                 1.2238,                0.95561,                 0.9469,                0.98044,                0.85572,                0.55334,                0.35838,                 1.1304,              0.0055945,              0.0055945,              0.0055945
                     91,                0.73083,                0.64304,                 1.2222,                0.96044,                0.94282,                0.97965,                0.85431,                0.55032,                0.36015,                 1.1298,               0.005545,               0.005545,               0.005545
                     92,                0.73111,                0.64199,                 1.2194,                 0.9542,                0.94958,                0.97854,                 0.8532,                0.54217,                0.35367,                 1.1205,              0.0054955,              0.0054955,              0.0054955
                     93,                0.72449,                0.63585,                  1.217,                0.95488,                0.95194,                0.98169,                0.85956,                0.53806,                0.35411,                 1.1163,               0.005446,               0.005446,               0.005446
                     94,                0.73325,                0.63771,                 1.2208,                0.94662,                0.95715,                0.97931,                0.85871,                0.53836,                0.35031,                 1.1179,              0.0053965,              0.0053965,              0.0053965
                     95,                0.72654,                0.63355,                 1.2191,                0.95103,                0.95353,                0.98066,                0.86004,                0.53916,                0.34636,                 1.1191,               0.005347,               0.005347,               0.005347
                     96,                0.73194,                0.65555,                 1.2206,                0.94807,                0.95898,                0.98144,                0.86506,                0.52703,                0.34258,                  1.107,              0.0052975,              0.0052975,              0.0052975
                     97,                0.71688,                0.61262,                 1.2083,                0.95565,                0.95925,                 0.9813,                0.86356,                0.53803,                0.33981,                 1.1144,               0.005248,               0.005248,               0.005248
                     98,                0.71772,                0.62936,                 1.2115,                0.94978,                0.95729,                0.98193,                0.86021,                0.53882,                0.34423,                 1.1138,              0.0051985,              0.0051985,              0.0051985
